chapter_location,claim,dissertation_value,fresh_output_value,classification,evidence_file,documented_lineage,severity,reason,action_taken,verification_after_action,notes
Chapter 3 / 4,Sanitation candidate records,249,249,EXACT MATCH,outputs/tables/moh_close_reading_candidates.csv,category aggregation,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 3 / 4,Housing candidate records,158,158,EXACT MATCH,outputs/tables/moh_close_reading_candidates.csv,category aggregation,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 3 / 4,Disease candidate records,86,86,EXACT MATCH,outputs/tables/moh_close_reading_candidates.csv,category aggregation,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 3 / 4,Inequality candidate records,47,47,EXACT MATCH,outputs/tables/moh_close_reading_candidates.csv,category aggregation,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Appendix / Chapter 6,Inequality full sensitivity,47 records; 41 passages; 57 hits,47; 41; 57,EXACT MATCH,outputs/tables/technical/inequality_marker_sensitivity_summary.csv,18 inequality sensitivity,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Appendix / Chapter 6,Direct socioeconomic sensitivity,33 records; 29 passages; 36 hits,33; 29; 36,EXACT MATCH,outputs/tables/technical/inequality_marker_sensitivity_summary.csv,18 inequality sensitivity,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 4,Small-pox controlled retrieval,45 raw hits; 21 candidate rows,45; 21,EXACT MATCH,outputs/tables/moh_narrative_keyword_summary.csv; moh_close_reading_candidates.csv,08 keyword analysis → candidates,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 4,NMF frozen narrative input before exclusions,275,275,EXACT MATCH,outputs/tables/technical/topic_model_manifest.json,13 topic model,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 4,Fixed NMF front-matter exclusions,6,6,EXACT MATCH,outputs/tables/technical/topic_model_manifest.json,data/metadata/topic_model_exclusions.csv,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 4,NMF modeled passages,269,269,EXACT MATCH,outputs/tables/technical/topic_model_manifest.json,13 topic model,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 4,NMF model-input words,"50,303","50,303",EXACT MATCH,outputs/tables/technical/topic_model_manifest.json,13 topic model,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 4,Primary NMF topic count,k=7,7,EXACT MATCH,outputs/tables/technical/topic_model_manifest.json,primary deterministic model,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 4,Primary NMF initialisation,NNDSVDA,nndsvda,TEXTUAL / QUALITATIVE CLAIM,outputs/tables/technical/topic_model_manifest.json,primary deterministic model,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,Capitalisation only; same scikit-learn setting.
Chapter 4,Primary NMF random state,0,0,EXACT MATCH,outputs/tables/technical/topic_model_manifest.json,primary deterministic model,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 4,NMF tested k values,"4, 5, 6, 7, 8",4; 5; 6; 7; 8,EXACT MATCH,outputs/tables/technical/topic_model_manifest.json,sensitivity models,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 4,Random-start diagnostic seeds,"1, 21, 42, 84, 100",1; 21; 42; 84; 100,EXACT MATCH,outputs/tables/technical/topic_model_manifest.json,diagnostic models only,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 4,TF-IDF feature ceiling,"4,000","4,000",EXACT MATCH,outputs/tables/technical/topic_model_manifest.json,vectorizer max_features,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 4,NMF convergence settings,"tolerance 1e-5; maximum 1,500 iterations","1e-5; 1,500",EXACT MATCH,outputs/tables/technical/topic_model_manifest.json,primary model,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Table 4.1,Retained component identities,"3, 4, 1, 2, 6",3; 4; 1; 2; 6,EXACT MATCH,outputs/tables/technical/nmf_component_assignment.csv,deterministic primary NMF + global assignment,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Figure 4,Primary topic-by-year plot,7-topic deterministic primary data,7 topics; 269 documents,EXACT MATCH,outputs/tables/technical/nmf_primary_document_topics_k7.csv,13 NMF → 17 technical figures,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Table 4.2,Workplace totals,24 proceedings; 23 addresses; 20 workshop; 4 bakehouse,24; 23; 20; 4,EXACT MATCH,outputs/tables/technical/workplace_address_summary.csv,19 workplace extraction,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 4,Workplace reporting-year rows,1894: 11; 1895: 12; 1896: 1,11; 12; 1,EXACT MATCH,outputs/tables/technical/workplace_address_summary.csv,year aggregation,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 3 / Figure 5,Map scan dimensions,"10,059 × 6,746 pixels","10,059 × 6,746",EXACT MATCH,maps/background_map/Booth_Sheet63_Whitechapel_1898_1899.jpg,20 map size assertion,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 3 / Figure 7,Raw spatial candidates,38,38,EXACT MATCH,outputs/tables/moh_spatial_reference_candidates.csv,10 spatial candidates,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 3 / Figure 7,Removed metadata addresses,6,6,EXACT MATCH,analysis/chapter3/spatial_review_log.csv,manual source review,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 3 / Figure 7,Source-valid spatial records,32,32,EXACT MATCH,analysis/chapter3/spatial_review_log.csv,manual source review,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 3 / Figure 7,Named places,16,16,EXACT MATCH,maps/coordinates/place_map_points_verified.csv; out_of_sheet_place_references.csv,15 in sheet + 1 out of sheet,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 3 / Figure 7,In-sheet points,15,15,EXACT MATCH,maps/coordinates/place_map_points_verified.csv,verified scan-pixel table,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 3 / Figure 7,Out-of-sheet reference,1: Mile End Old Town,1: Mile End Old Town,EXACT MATCH,maps/coordinates/out_of_sheet_place_references.csv,explicit neighbouring reference,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Figure 7,Mile End Old Town distinct retained passages,3,3,EXACT MATCH,analysis/chapter3/spatial_review_log.csv,retained source-valid passage count,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Figure 7,Wentworth Street distinct retained passages,11,11,EXACT MATCH,analysis/chapter3/spatial_review_log.csv,retained source-valid passage count,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Figure 7,Spitalfields and Hanbury Street distinct retained passages,7 each,7; 7,EXACT MATCH,analysis/chapter3/spatial_review_log.csv,retained source-valid passage counts,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 4 / Figure 6,Place–disease candidate pairs,12,12,EXACT MATCH,outputs/tables/technical/spatial_disease_validation.csv,16 pair-level source validation,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 4 / Figure 6,False structural/list adjacency,9,9,EXACT MATCH,outputs/tables/technical/spatial_disease_validation_summary.csv,pair-level validation,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 4 / Figure 6,Direct place–institution–disease,2,2,EXACT MATCH,outputs/tables/technical/spatial_disease_validation_summary.csv,pair-level validation,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 4 / Figure 6,Management-context-only,1,1,EXACT MATCH,outputs/tables/technical/spatial_disease_validation_summary.csv,pair-level validation,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 5,"Historical statutes, page numbers and quoted administrative counts",Source-cited historical claims,Not computational outputs,TEXTUAL / QUALITATIVE CLAIM,references/quotation_audit.csv,source-page verification,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,Classified separately from pipeline results; no computational mismatch inferred.
Chapter 6,Passage 1892_0026 term set,houses; destitute; lodgers; poorest; sanitary,all five present,TEXTUAL / QUALITATIVE CLAIM,outputs/tables/moh_close_reading_candidates.csv,candidate rows → source review,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 6,Passage 1898_0008 term set,water supply; drains; nuisance; poor; poorer,all five present,TEXTUAL / QUALITATIVE CLAIM,outputs/tables/moh_close_reading_candidates.csv,candidate rows → source review,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 7,Place–disease conclusion,12 = 9 + 2 + 1,12 = 9 + 2 + 1,EXACT MATCH,outputs/tables/technical/spatial_disease_validation_summary.csv,validated synthesis,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Figure 1,Corpus workflow lineage,Current workflow figure,Fresh figure data present,EXACT MATCH,outputs/tables/chapter3/fig1_corpus_workflow_data.csv,00 corpus figure,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Figure 2,Theme distribution lineage,Current controlled-retrieval data,Fresh figure data present,EXACT MATCH,outputs/tables/chapter3/fig2_theme_distribution_data.csv,11 chapter 3 figures,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Figure 3,By-year heatmap lineage,Current controlled-retrieval data,Fresh figure data present,EXACT MATCH,outputs/tables/chapter3/fig3_by_year_heatmap_data.csv,11 chapter 3 figures,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Figure 5,Workplace map lineage,Current workplace records and verified coordinates,Fresh inputs present,EXACT MATCH,outputs/tables/technical/workplace_address_extraction.csv; maps/coordinates/workplace_map_points_verified.csv,19 extraction → 20 map,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Figure 6,Validation bar-chart lineage,Current 12 pair decisions,Fresh summary present,EXACT MATCH,outputs/tables/technical/spatial_disease_validation_summary.csv,16 validation → 17 figure,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Figure 7,Source-validated place map lineage,32 records / 16 places,32 / 16,EXACT MATCH,analysis/chapter3/spatial_review_log.csv; maps/coordinates/,10 candidates → manual review → 20 map,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Appendix Table A1,Caption and output lineage,"Frozen controlled dictionary, source-verified lexical variants and final-corpus hit counts",55 rows from current summary,EXACT MATCH,outputs/tables/moh_narrative_keyword_summary.csv,12 dictionary appendix,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,Current front-list title and actual caption agree; old test expectation was stale.
Chapter 4 / §4.6,Passage 1890_0032 structural-adjacency example,Notification Act discussion followed by a slaughter-house address list; three named places are not disease locations,false_structural_adjacency for Mile End New Town; Whitechapel Road; Hanbury Street,TEXTUAL / QUALITATIVE CLAIM,analysis/technical/spatial_disease_manual_validation.csv; outputs/tables/technical/spatial_disease_validation.csv; analysis/chapter3/spatial_review_log.csv,frozen passage and spatial candidate → manual validation → source-page check,NONE,The dissertation example matches the frozen pair decisions and page-23 source verification.,Added dissertation-facing cross-check only; analytical files were not edited.,PASS,Passage 1890_0032 remains in the dissertation; the example explains structural/list adjacency rather than a disease location.
Chapter 6 / §6.4,Female-worker separate accommodation proceedings,4 of 24,4 of 24,EXACT MATCH,outputs/tables/technical/workplace_address_extraction.csv,frozen 24-proceeding workplace extraction → explicit separate-accommodation records,NONE,Four frozen proceedings record missing separate accommodation for female workers.,Added dissertation-facing cross-check only; analytical files were not edited.,PASS,Records: 1894_0055 (29 Old Montague Street; 9 Shepherd Street); 1894_0057 (5 Cox Square); 1894_0059 (12 Duncan Street).
