report_year,report_id,passage_id,matched_places,raw_matched_mentions,review_status,source_form,interpretive_use,review_reason,source_page_verified,verified_scan_canvas,verified_printed_page,official_iiif_image_url,official_alto_url,verification_result,verification_basis,review_date
1894,b1801835x,1894_0013,London Hospital,1,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,9,9,"https://iiif.wellcomecollection.org/image/b1801835X_0009.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b1801835x/b1801835X_0009.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1894,b1801835x,1894_0020,Hanbury Street,1,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,15,15,"https://iiif.wellcomecollection.org/image/b1801835X_0015.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b1801835x/b1801835X_0015.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1894,b1801835x,1894_0023,Spitalfields; Mile End Old Town,2,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained after source review; the passage explicitly reads Mile End Old Town Hamlet.,True,16,16,"https://iiif.wellcomecollection.org/image/b1801835X_0016.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b1801835x/b1801835X_0016.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-13
1894,b1801835x,1894_0027,Spitalfields,1,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,17,17,"https://iiif.wellcomecollection.org/image/b1801835X_0017.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b1801835x/b1801835X_0017.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1894,b1801835x,1894_0053,Wentworth Street,4,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,39,39,"https://iiif.wellcomecollection.org/image/b1801835X_0039.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b1801835x/b1801835X_0039.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1894,b1801835x,1894_0054,Wentworth Street; Fashion Street,2,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,39,39,"https://iiif.wellcomecollection.org/image/b1801835X_0039.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b1801835x/b1801835X_0039.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1894,b1801835x,1894_0055,Hanbury Street,1,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,40,40,"https://iiif.wellcomecollection.org/image/b1801835X_0040.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b1801835x/b1801835X_0040.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1894,b1801835x,1894_0056,Wentworth Street,4,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,41,41,"https://iiif.wellcomecollection.org/image/b1801835X_0041.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b1801835x/b1801835X_0041.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1894,b1801835x,1894_0057,Wentworth Street; Hanbury Street,2,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,42,42,"https://iiif.wellcomecollection.org/image/b1801835X_0042.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b1801835x/b1801835X_0042.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1894,b1801835x,1894_0059,Wentworth Street; Hanbury Street,2,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,43;44,43;44,"https://iiif.wellcomecollection.org/image/b1801835X_0043.jp2/full/1800,/0/default.jpg;https://iiif.wellcomecollection.org/image/b1801835X_0044.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b1801835x/b1801835X_0043.jp2;https://api.wellcomecollection.org/text/alto/b1801835x/b1801835X_0044.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1895,b19883687,1895_0001,Commercial Road,1,exclude_from_substantive_interpretation,title_page_printer_address,transparency_only,"Commercial Road is the publisher/printer address on the report title page, not a substantive reference to public-health geography.",True,1,1,"https://iiif.wellcomecollection.org/image/b19883687_0001.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b19883687/b19883687_0001.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1895,b19883687,1895_0014,Commercial Street; Whitechapel Road,2,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,7,7,"https://iiif.wellcomecollection.org/image/b19883687_0007.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b19883687/b19883687_0007.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1895,b19883687,1895_0073,Hanbury Street,2,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,44,44,"https://iiif.wellcomecollection.org/image/b19883687_0044.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b19883687/b19883687_0044.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1895,b19883687,1895_0074,Wentworth Street,1,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,45,45,"https://iiif.wellcomecollection.org/image/b19883687_0045.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b19883687/b19883687_0045.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1895,b19883687,1895_0075,Hanbury Street,1,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,45,45,"https://iiif.wellcomecollection.org/image/b19883687_0045.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b19883687/b19883687_0045.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1895,b19883687,1895_0076,Wentworth Street,1,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,47,47,"https://iiif.wellcomecollection.org/image/b19883687_0047.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b19883687/b19883687_0047.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1897,b19883699,1897_0001,Commercial Road,1,exclude_from_substantive_interpretation,title_page_printer_address,transparency_only,"Commercial Road is the publisher/printer address on the report title page, not a substantive reference to public-health geography.",True,1,1,"https://iiif.wellcomecollection.org/image/b19883699_0001.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b19883699/b19883699_0001.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1897,b19883699,1897_0015,Mile End Old Town,1,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained after source review; the passage explicitly reads Hamlet of Mile End Old Town.,True,8,8,"https://iiif.wellcomecollection.org/image/b19883699_0008.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b19883699/b19883699_0008.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-13
1897,b19883699,1897_0023,Wentworth Street,1,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,11,11,"https://iiif.wellcomecollection.org/image/b19883699_0011.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b19883699/b19883699_0011.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1897,b19883699,1897_0058,Commercial Street; Leman Street,2,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,39,39,"https://iiif.wellcomecollection.org/image/b19883699_0039.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b19883699/b19883699_0039.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1897,b19883699,1897_0059,Wentworth Street; Thrawl Street; Brick Lane,3,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,40,40,"https://iiif.wellcomecollection.org/image/b19883699_0040.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b19883699/b19883699_0040.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1897,b19883699,1897_0060,Wentworth Street,1,retain_boundary_case,list_form_enforcement_record,transparency_only_not_independent_spatial_evidence,This is the list-form enforcement record retained after the Section 3.5 boundary review. It remains in the candidate layer but is not treated as independent evidence of spatial concentration.,True,40,40,"https://iiif.wellcomecollection.org/image/b19883699_0040.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b19883699/b19883699_0040.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1898,b19883705,1898_0001,Whitechapel Road,1,exclude_from_substantive_interpretation,title_page_printer_address,transparency_only,"Whitechapel Road is the printer/stationer's address on the report title page, not a substantive reference to public-health geography.",True,1,1,"https://iiif.wellcomecollection.org/image/b19883705_0001.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b19883705/b19883705_0001.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1898,b19883705,1898_0006,Mile End New Town; London Hospital; Spitalfields; Aldgate,7,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,4,4,"https://iiif.wellcomecollection.org/image/b19883705_0004.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b19883705/b19883705_0004.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1898,b19883705,1898_0048,Aldgate,1,exclude_from_substantive_interpretation,institutional_letterhead_address,transparency_only,Aldgate appears in the Chemical and Analytical Laboratories letterhead; it identifies the correspondent's address rather than a sanitary condition or intervention within Whitechapel.,True,37,37,"https://iiif.wellcomecollection.org/image/b19883705_0037.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b19883705/b19883705_0037.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1898,b19883705,1898_0049,Wentworth Street,1,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,38,38,"https://iiif.wellcomecollection.org/image/b19883705_0038.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b19883705/b19883705_0038.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1899,b19883717,1899_0038,Flower and Dean Street; Thrawl Street,2,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,18,18,"https://iiif.wellcomecollection.org/image/b19883717_0018.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b19883717/b19883717_0018.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1891,b19883663,1891_0023,Whitechapel High Street,1,retain_candidate,narrative_or_administrative_text,contextual_candidate,"The official scan confirms a substantive discussion of refuse-control bye-laws and explicitly names Whitechapel High Street up to Church Lane; the reference is not an index, title-page address or list artefact.",True,20,20,"https://iiif.wellcomecollection.org/image/b19883663_0020.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b19883663/b19883663_0020.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-14
