report_year,passage_id,matched_places,passage_text,source_file,notes
1894,1894_0057,Hanbury Street; Wentworth Street,"To pay �1 1s. costs. 5, Cox Square Workshops without sufficient and suitable accommodation in the way of sanitary conveniences, and without separate accommodation for the females employed therein and not properly ventilated. Roof of house defective. Walls and ceilings of staircase dirty and dilapidated. Closet without water supply and in a filthy state. Drain in yard not properly trapped. October 15th Order to abate nuisance within 7 days. 42 Situation of Premises. Nature of Nuisance or Complaint. Date of hearing of Summons. Result. 1894 7, Cox Square Workshop not properly ventilated. Walls and ceilings of workshop, staircase and landing dirty and dilapidated. Closet without water supply and in a filthy state. Drain in yard not properly trapped Oct. 15th Order to abate nuisance within 7 days. 32, Hanbury Street Gutters filled with liquid filth. Insufficient closet accommodation. Walls of staircase broken and dirty � 22nd House ordered to be closed forthwith. 5 and 7 Cox Square Failing to comply with the abatement orders made by the Magistrate on 15th October Nov. 15th Fined �5 and 2s. costs. Wentworth Street Exposing for sale a quantity of gurnets unfit for human food � 22nd Fined �5 and 2s. costs.",data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,Likely narrative passage 1894_0057; spatial reference candidate; verify OCR/source before quotation.
1894,1894_0059,Wentworth Street; Hanbury Street,"W.C. in yard stopped and water apparatus to same defective Dec. 18th Work done. Summons withdrawn. 12, Duncan Street Walls and ceiling of workshop dirty and dilapidated. Workshop is without sufficient and suitable accommodation in the way of sanitary conveniences, and without separate accomodation for the females employed therein � 18th Work done. Summons withdrawn. Wentworth Street Exposing for sale a quantity of chestnuts and water melons unfit for human food � 19th Fined �l and 5s. costs. 1, New Buildings, Tenter Street For exposing a child suffering from scarlet fever in the workshop � 24th Dismissed upon a technical objection. Magistrate ruled that a workshop was not a shop within the meaning of the Act. 44 PROCEEDINGS TAKEN UNDER THE HOUSING OF THE WORKING CLASSES ACT, 1890. Situation of Property. Date of Representation of the Medical Officer. Nature of Representation. Date of hearing of Summons. Result. 1894 1894 104, Hanbury Street February 12th Premises in such a state as to be totally unfit for human habitation March 8th The whole of the Summonses were adjourned from time to time to enable Owners to carry out very extensive works.",data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,Likely narrative passage 1894_0059; spatial reference candidate; verify OCR/source before quotation.
1895,1895_0001,Commercial Road,"EHI 41 THE ANNUAL REPORT ON THE SANITARY CONDITION OF THE WHITECHAPEL DISTRICT (WITH VITAL AND OTHER STATISTICS), FOR THE YEAR 1S95. (CONSISTING OF 52 WEEKS), being the TWELFTH ANNUAL REPORT, BY JOSEPH LOANE, MEDICAL OFFICER OF HEALTH; diplomate in public health, university of cambridge fellow of the incorporated society of medical officers of health; associate of the college of state medicine; member of the sanitary institute; public vaccinator to the whitechapel union; examiner in, and instructor of, vaccination, by order local government board; &c. LONDON: PRINTED BY GEORGE STEVENS & CO., LTD. 19 & 25A, Commercial Road, E. 1896. office of the borad of Works for the Whitechapel District. public health Department: No. 15, Great Alie Street, London, E. January lStlt, 1896. Gentlemen, I propose in this Report to give as much general and particular information as possible by means of Tables, so arranged that they may be readily compared with similar Tables for past years. This information will be supplemented by certain additional Tables. Where it. appears necessary to do so, I shall explain, and enlarge upon, the facts to be deduced from the figures comprising the Tables.",data/raw/moh/Whitechapel_1895_b19883687_fulltext.txt,Likely narrative passage 1895_0001; spatial reference candidate; verify OCR/source before quotation.
1895,1895_0014,Whitechapel Road; Commercial Street,"No re-vaccinated person properly so called contracted the disease. A second letter as to persons who had Small-pox, and who were not removed to hospital, was received from the Local Government Board. The matters mentioned therein have been included in the above Report. I have only to add that I have supplied the Infirmary Medical Superintendent with Vaccine Lymph sufficient to re-vaccinate the staff and many of the patients. So far as I can learn, only one woman�a scrubber at the Infirmarycontracted Small-pox. She had not been re-vaccinated. I believe that I have re-vaccinated nearly all the persons who are employed at the Salvation Army Shelter in the Whitechapel Road, and also the men employed at the Victoria Home, No. 1 in Commercial Street, where 8 of the cases occurred. As a matter of fact, therefore, 50 per cent, of the cases were reported as coming from Salvation Army Shelters, 25 per cent, from private houses, and 25 per cent, from Registered Common Lodging-houses, the Whitechapel Infirmary, and from all outside Philanthropic Shelters. At present about 16 of the cases may be centres from which fresh cases may arise, and to these our attention must remain for the present directed.",data/raw/moh/Whitechapel_1895_b19883687_fulltext.txt,Likely narrative passage 1895_0014; spatial reference candidate; verify OCR/source before quotation.
1895,1895_0073,Hanbury Street,"27, Old Montague Street Bakehouse in such a condition as to render it unfit for use � 21st Summons dismissed on the objection that the person summoned was not the occupier. N.B.-�The required works were subsequently carried out. 148, Old Montague Street Bakehouse in such a condition as to render it unfit for use � 21st Order to put Bakehouse in a proper sanitary condition within 7 days. N.B.�Bakehouse subsequently disused. 12, Hanbury Street The carrying on the business of frying fish, from which noxious and offensive effluvia arises � 21st Nuisance abated. Summons withdrawn. 19, Hanbury Street The carrying on the business of frying fish from which noxious and offensive effluvia arises � 21st Nuisance abated. Summons withdrawn. 4, Booth Street Insufficient water closet accommodation. The water apparatus in existing water closet defective April 9 th Order to carry out necessary works within 14 days. 45 Situation of Premises. Nature of Nuisance or Complaint. Date of hearing of Summons. Result. 6, Booth Street No proper flush of water to the water closet. The yard is defectively paved 1895. April 9th Order to carry out necessary works within 14 days.",data/raw/moh/Whitechapel_1895_b19883687_fulltext.txt,Likely narrative passage 1895_0073; spatial reference candidate; verify OCR/source before quotation.
1895,1895_0074,Wentworth Street,"37, Old Montague Street The water closet is choked and in a filthy state. The walls of yard, washhouse and water closet are dirty � 18th Work done. Summons withdrawn. Finch Street Exposing a child in the public thoroughfare while suffering from Scarlet Fever ,, 18th Insufficient evidence. Summons withdrawn on the suggestion of the Magistrate. Finch Street Removing articles of bedding, &c., which had been exposed to infection from Scarlet Fever without previous disinfection May 7th Fined �1 and 2s. costs. In default of distress 7 days' imprisonment. 117, Wentworth Street Exposing for sale a quantity of eggs unfit for human food � 9th Fined �20 and 12s. costs. In default of distress C weeks' imprisonment. 8, Duncan Street Rain water pipes defective. Yard defectively paved � 27th Work done. Summons withdrawn. 11, Duncan Street Rain water pipes and eave gutters defective � 27th Work done. Summons withdrawn. 14, Great Alie Street The drain is defective � 27th Work done. Summons withdrawn. 27, Old Montague Street The Bakehouse is used as a sleeping apartment. No ceiling to Bakehouse. Floor above defective. Bakehouse not properly ventilated. July 4th Work done. Summons withdrawn. 3, Spelman Street Workshop without sufficient and suitable accommodation in the way of sanitary conveniences.",data/raw/moh/Whitechapel_1895_b19883687_fulltext.txt,Likely narrative passage 1895_0074; spatial reference candidate; verify OCR/source before quotation.
1895,1895_0075,Hanbury Street,"Workshop not properly ventilated � 31st Order to carry out necessary works within 14 days. 141, Hanbury Street Workshop without sufficient and suitable accommodation in the way of sanitary conveniences. Workshop overcrowded and not properly ventilated ,, 31st Order to carry out necessary works within 14 days 62, Cbicksand Street Workshop without sufficient and suitable accommodation in the way of sanitary conveniences. Workshop not properly ventilated � 31st Order to close Workshop within 14 days. 46 Situation of Premises. Nature of Nuisance or Complaint. Date of hearing of Summons. Result. 20, Osborn Street Water closets choked and without proper water supply. Drain in yard not properly trapped. Yard defectively paved 1895. July 31st Order to abate nuisance within 14 days. 22, Heneage Street Workshop not properly ventilated and without sufficient light � 31st Order to close Workshop within 14 days. 20, Corbett's Court Workshops overcrowded and not properly ventilated, and without sufficient and suitable accommodation in the way of sanitary conveniences � 31st Order to close Workshop within 14 days. 80, Pelham Street Selling to a person 30 bags of onions unfit for human food ,, 31st Fined �5. In default of distress one month's imprisonment. Cobb's Yard For having a large quantity of onions deposited in a shed for the purpose of sale � 31st Summons dismissed.",data/raw/moh/Whitechapel_1895_b19883687_fulltext.txt,Likely narrative passage 1895_0075; spatial reference candidate; verify OCR/source before quotation.
1895,1895_0076,Wentworth Street,"Insufficient evidence. 39, Pelham Street Workshop not properly ventilated and without sufficient and suitable accommodation in the way of sanitary conveniences Aug. 21st Order to close Workshop forthwith. 6, Fort Street Walls and ceilings of house dirty. Yard defectively paved. Walls of yard dirty. Pan of water closet foul. No water to water closet owing to defective fittings � 31st Order to close premises within 7 days. 2, Fisher's Alley (South) First floor room used as a Workshop totally unfit for such use � 31st Order to close Workshop forthwith. 2, Fisher's Alley (North) First floor back room used as a Workshop totally unfit for such use ,, 31st Order to close Workshop forthwith. 43, Buxton Street Workshops not properly ventilated and without sufficient and suitable accommodation in the way of sanitary conveniences � 31st Order to close Workshops forthwith. 41, Dunk Street Roof of house defective � 31st Work done. Summons withdrawn. 47 Situation of Premises. Nature of Nuisance or Complaint. Date of hearing of Summons. Result. ""Wentworth Street Exposing for sale a quantity of prunes unfit for human food 1895. Sept. 12th Fined �10 and 5s. costs. In default of distress one month's imprisonment.",data/raw/moh/Whitechapel_1895_b19883687_fulltext.txt,Likely narrative passage 1895_0076; spatial reference candidate; verify OCR/source before quotation.
1897,1897_0001,Commercial Road,"WH142 THE ANNUAL REPORT on the SANITARY CONDITION of the WHITECHAPEL DISTRICT, (WITH VITAL AND OTHER STATISTICS FOR THE YEAR 1890 . (consisting of 52 WEEKS), being the FOURTEENTH ANNUAL REPORT, BY JOSEPH LOANE, MEDICAL OFFICER OF HEALTH; diplomate in public health, university of cambridge; fellow of the incorporated society of medical officers of health ; associate of the college of state medicine j member of the sanitary institute ; public vaccinator to the whitechapel union ; examiner in, and instructor of, vaccination, by order of the local government board; &c. LONDON: PRINTED BY GEORGE STEVENS & CO., Ltd., 19 & 25a, Commercial Road, E. 1898. Officers of -t'he Board of Works for the Whitechapel District. Sanitary Department: No. 15, Great Alie Street, London, E., January 27th, 1898. Gentlemen, I have the honour to present for your consideration my Fourteenth Annual Report upon the sanitary condition of the Whitechapel District. It is impossible to review the changes which have taken place during the past few years without feeling thankful that so much has been achieved, and I congratulate you upon the success which has attended your endeavours to keep pace with the work which has, at times, threatened to overwhelm your officers.",data/raw/moh/Whitechapel_1897_b19883699_fulltext.txt,Likely narrative passage 1897_0001; spatial reference candidate; verify OCR/source before quotation.
1897,1897_0015,Mile End Old Town,"Probably, early in the Session, some legislation will take place to exehange for some of the present regulations, others of a less drastic kind. In the meantime I would warn persons who wish to be protected from so awful a disease as Small-pox, to inquire into the advantages of vaccination for themselves, and not to believe persons who, for other reasons than those of public policy, make statements which are often altogether at variance with truth. * Page 28. 8 I am somewhat handicapped in this matter, because I am officially conconcerned with vaccination�and I have been accused of supporting it for interested purposes. It does not appear to occur to these people that the Medical Profession lose vastly by anything which tends towards the entire removal of any disease. I am looking at two large posters which have been largely circulated throughout the Hamlet of Mile End Old Town and the Whitechapel District. The latter states that ""the Guardians of the White""chapel Union will not prosecute vaccination defaulters. On Tuesday, ""December 14th, 1897, the Guardians decided to suspend prosecutions. ""Therefore ignore all notices that threaten prosecution in 14 days."" I am informed by the Clerk to the Board of Guardians for Whitechapel that this statement is absolutely untrue.",data/raw/moh/Whitechapel_1897_b19883699_fulltext.txt,Likely narrative passage 1897_0015; spatial reference candidate; verify OCR/source before quotation.
1897,1897_0023,Wentworth Street,"We have be en in communication with Sir "" Algernon Osborn, the freeholder of the Osborn estate, which includes the area ""above-mentioned, and he is prepared to co-operate with the Council in improving 11 ""and developing his estate, subject to the Council agreeing to sell for a reasonable ""sum the frontages abutting on Sandy Row, and assisting to expedite the ""formation of the new roads and the closing of the several courts and alleys. It ""is proposed to close all existing courts and alleys, and to form a 40-feet street ""from Wentworth Street, parallel to Sandy's Row and Bell Lane, continuing the ""street round Tripe Yard into Sandy's Row, and to widen Cobb's Yard into a ""40-feet street. Upon the formation of the roads, the land remaining will be ""utilized for shops and domestic dwellings. The clearance of most of the proper""ties can be effected at once, but a small portion is held on leases which expire in ""1922 and 1930. Sir A. Osborn's agents hope to be able to come to terms with ""the tenants of these properties for a surrender of their interests before the expiry ""of their leases.",data/raw/moh/Whitechapel_1897_b19883699_fulltext.txt,Likely narrative passage 1897_0023; spatial reference candidate; verify OCR/source before quotation.
1897,1897_0058,Commercial Street; Leman Street,"39 PROCEEDINGS TAKEN UNDER THE PUBLIC HEALTH (LONDON) ACT, 1891. Situation of Premises. Nature of Nuisance or Complaint. Date of hearing of Summons. Result. Commercial Street Selling oranges unfit for human food 1897 Jan. 16th Summons withdrawn. Insufficient evidence. 55, Leman Street Workshops not properly ventilated. Yard paving defective March 4th Work done. Summons withdrawn. 3s. costs paid. 18, Cotton Street Walls and ceilings dirty. Roof defective � 4th Work done. Summons withdrawn. 3s. costs paid. 32, Artillery Lane House unfit for human habitation � 17th Order to close. 6s. costs paid. 47a, Crispin Street � � � � 17th � � 6s. � 476, Crispin Street � � � � 17th � � 6s. |� 47c, Crispin Street � � � � 17th � 6s. � 48, Crispin Street � � � � 17th � � 6s. ,, 49, Crispin Street � � � ,, 17th � � 6s. ,, 33, Fieldgate Street W.C. in yard in filthy and dilapidated condition April 8th Work done. Summons withdrawn. 2s. costs paid. 3, Little Alie Street Roof of house defective. Workshop not properly ventilated � 8th Work done. Summons withdrawn. 3 & 4, Spectacle Alley Walls and ceiling of staircase dirty. Yard paving defective. W.C. without proper water supply. Sink waste pipe defective � 22nd Work done. Summons withdrawn. 2s. costs paid. 2, Little Alie Street Workshop not properly ventilated April 22nd Work done. Summons withdrawn. 8, Duncan Street Roof of house defective. Rain water pipes at rear defective � 22nd � � � 4, Duncan Street Walls and ceilings of house dirty and dilapidated.",data/raw/moh/Whitechapel_1897_b19883699_fulltext.txt,Likely narrative passage 1897_0058; spatial reference candidate; verify OCR/source before quotation.
1897,1897_0059,Thrawl Street; Wentworth Street; Brick Lane,"Roof of house defective � 22nd � � � 40 Situation of Premises. Nature of Nuisance or Complaint. Date of hearing of Summons. Result. Josephine House, Thrawl Street Permitting premises to be occupied without having first obtained a Certificate that such premises had a proper water supply May 4th Fined �l and 6s. costs. 72, Boyal Mint Street Drain defective. Walls and ceilings of house dirty. Boof defective. Basement paving defective June 10th Summons withdrawn. Work done. 23, Steward Street Walls and ceilings of workshop and several of the rooms dirty. Floor of basement on the earth. No water supply to W.C. on Flat. Boof of house and workshop defective � 16th Order to carry out necessary work in 7 days. �3 3s. and costs. Wentworth Street Exposing unsound fish for sale � 16th Defendant did not appear. Warrant issued for his arrest. Brick Lane Exposing unsound grapes and bananas for sale � 16th Fined �1 and 2s. costs, or 14 days' imprisonment. Defendant went to prison. 6, Cox Square Yard paving defective. W.C. connection defective � 16th Order to carry out necessary work in 7 days. 16, Great Alie Street Drain defective ,, 24th Summons withdrawn. Work done.",data/raw/moh/Whitechapel_1897_b19883699_fulltext.txt,Likely narrative passage 1897_0059; spatial reference candidate; verify OCR/source before quotation.
1897,1897_0060,Wentworth Street,"Lamb Street Exposing tomatoes for sale July 14 th Stimmons withdrawn. Insufficient evidence. 70, Wentworth Street House unfit for human habitation � 20th Order to close. 4 & 5, Steward Street Permitting premises to be occupied without having first obtained a Certificate that such premises had a proper water supply Nov. 25 th Summons withdrawn. 6s. costs paid. Vault under Netherlands Club, Bell Lane Large number of barrels containing offensive liquid injurious to health � 25th Summons withdrawn, �2 3s. costs paid. Total of Penalties and Costs, �9 4s. 0d.",data/raw/moh/Whitechapel_1897_b19883699_fulltext.txt,Likely narrative passage 1897_0060; spatial reference candidate; verify OCR/source before quotation.
1898,1898_0001,Whitechapel Road,"WHI 43 THE ANNUAL REPORT ON THE SANITARY CONDITION OF THE WHITECHAPEL DISTRICT, WITH VITAL AND OTHER STATISTICS FOR THE YEAR 1898 (CONSISTING OF 52 WEEKS) being the FIFTEENTH ANNUAL REPORT, by JOSEPH LOANE, MEDICAL OFFICER OF HEALTH; DIPLOMATE IN PUBLIC HEALTH, UNIVERSITY OF CAMBRIDGE FELLOW OF THE INCORPORATED SOCIETY OF MEDICAL OFFICERS OF HEALTH; ASSOCIATE OF THE COLLEGE OF STATE MEDICINE; MEMBER OF THE SANITARY INSTITUTE; PUBLIC VACCINATOR TO THE WHITECHAPEL UNION; EXAMINER IN, AND INSTRUCTOR OF, VACCINATION, BY ORDER OF THE LOCAL GOVERNMENT BOARD; &c. 1899: LEVY & Co., Printers and Stationers, 23, Whitechapel Road, London, E, (Registered at London Society of Compositors.) Offices of the Board of Works for the Whitechapel District. Public Health Department: No. 15, Great Ale Street, London, E., To the Board of Works, January 10th, 1899. Gentlemen, In arranging the various tables and statistics which I have included in this Report, it has been my care with regard to them all, that they shall be capable not only of explaining themselves, so far as the year under consideration is concerned, but that they shall be available for comparison with any and all of the previous fourteen years which have passed since I became your Medical Officer of Health.",data/raw/moh/Whitechapel_1898_b19883705_fulltext.txt,Likely narrative passage 1898_0001; spatial reference candidate; verify OCR/source before quotation.
1898,1898_0006,Spitalfields; Mile End New Town; Aldgate; London Hospital,"When the year expires, nearly all the Tables contained in my Annual Report, are ready to be presented for your perusal, and copious notes of the leading subjects are available to further assist me in the early compilation of the Report. In considering the various items of information which I have tabulated in the "" Appendix,""attention must be drawn to the fact that since I commenced to issue Annual Reports, the Sub-Registration districts have been twice decreased in number. Originally there were five, viz. :�Spitalfields, Mile End New Town, Whitechapel Church, Goodman's Fields, and Aldgate. The retirement of the late Mr. Sparks was made the occasion of the union of Goodman's Fields with Aldgate, and now the death of Mr. John Hall has induced the Registrar-General to make another change : Part of Whitechapel Church will be added to the amalgamated Goodman's Fields and Aldgate Sub-Districts,�and the larger part (including the London Hospital) will be absorbed into the Mile End New Town Sub-District. This new arrangement of districts will of course interfere in the future with my custom of contrasting the conditions for the current year with previous years, so far as these altered sub-districts are concerned, but on the other hand there are good reasons for the change.",data/raw/moh/Whitechapel_1898_b19883705_fulltext.txt,Likely narrative passage 1898_0006; spatial reference candidate; verify OCR/source before quotation.
1898,1898_0048,Aldgate,"Special bacteriological examinations were made of each sample, but no pathological organism was found in either. There was good evidence in the fact that all the starch granules present were burst in each sample, that the cream had been all boiled previous to freezing; therefore the result of the bacteriological and chemical examination being satisfactory. I am of opinion that they were all of a wholesome character. Yours faithfully, W. C. YOUNG. Mr. R. S. Wrack, 15, Great Alie Street, Whitechapel, E. 37 CHEMICAL AND ANALYTICAL LABORATORIES, 19 & 20, Aldgate, London, E.C. 29th July, 1898. Mr. R. S. Wrack, 15, Great Alie Street, Whitechapel, E. Dear Sir, I have completed the analysis of the two samples of lemon ice, marked respectively 83 and 84, received from you on the 25th inst., and find that they were composed of water, sugar, and lemon juice. Both samples contained a minute trace of tin and a trace of zinc. The trace of zinc in sample No. 84 amounted to the equivalent of 1.1 grains of sulphate of zinc in 10 ounces, and the quantity in sample No.",data/raw/moh/Whitechapel_1898_b19883705_fulltext.txt,Likely narrative passage 1898_0048; spatial reference candidate; verify OCR/source before quotation.
1898,1898_0049,Wentworth Street,"83 was too small to be determined; therefore there was insufficient in either to be injurious to health. Both samples were submitted to bacteriological examination, but I was unable to detect a single pathogenic organism in either. I am, dear Sir, Yours faithfully, W. C. YOUNG. 38 PROCEEDINGS TAKEN UNDER THE PUBLIC HEALTH (LONDON) ACT, 1891. Situation of Premises. Nature of Nuisance or Complaint. Date of hearing of Summons. Result. 32, Church Lane Defective drain. Walls and ceilings of house dirty. Floor of front basement on the bare earth. Roof defective 1898 March 3rd Order to close. �1 7s. costs. 1, Booth Street Buildings Room used as a school insufficiently ventilated. Overcrowded during school hours. No W.C. accommodation for scholars � 4th Dismissed. Wentworth Street Exposing for sale gurnets unfit for food � 4th Fined �5. 114a, Booth Street Buildings Room, used as a workshop, filthy � 4th Order to cleanse in 7 days. 6s. costs. 122, Booth Street Buildings � � � � 4th � � 6s. costs. 18, Booth Street Buildings Room overcrowded � 4th Order to abate in 10 days. 6s. costs. 18, Great Prescot Street Defective drain � 24th Order to abate in 14 days. �1 7s. costs. 10, Fieldgate Street Roof of workshop defective � 24th Work done.",data/raw/moh/Whitechapel_1898_b19883705_fulltext.txt,Likely narrative passage 1898_0049; spatial reference candidate; verify OCR/source before quotation.
1899,1899_0038,Flower and Dean Street; Thrawl Street,"Various Blocks of Model Dwellings have been erected upon land which, although vacant for some years, had originally houses upon it in such a condition as to cause the Metropolitan Board of Works to invoke Cross' Act to clear it. I allude to Flower and Dean Street, Thrawl Street, &c. Then, again, some houseB have been purchased for Commercial purposes, and Warehouses already take the place of Dwellings�such as the Wool Warehouses and Messrs. Kinloch's Warehouse in Back Church Lane. Again, over 300 persons have vacated in the past few months houses which were in Courts in Back Church Lane ; here, vacant ground remains which probably will soon have Warehouses erected upon it. About 800 persons who occupied the 120 houses in the Bell Lane area have become scattered�although probably in a few months provision will be made to re-house as many, or perhaps more. In this work of improvement the London County Council have assisted. On the whole it is clear that more accommodation now exists for the working classes in the Whitechapel District than was the case before these changes took place.",data/raw/moh/Whitechapel_1899_b19883717_fulltext.txt,Likely narrative passage 1899_0038; spatial reference candidate; verify OCR/source before quotation.
